Index,leftWheelCount,rightWheelCount,ax,ay,az,gx,gy,gz
244,310,598,-0.03,0.04,1.08,-3.28,-0.21,3.24
245,310,598,-0.03,0.05,1.1,-1.91,0.11,-0.15
246,310,598,-0.02,0.05,1.08,-1,0,2.86
247,310,598,-0.02,0.06,1.1,-0.51,-2.56,1.25
248,310,598,-0.02,0.05,1.1,-0.08,-1.46,-0.18
249,310,598,-0.01,0.05,1.1,0.31,-1.23,1.82
250,310,598,-0.01,0.06,1.09,-1.1,-1.74,-0.48
251,310,598,0,0.05,1.09,-0.65,-1.23,1.16
252,310,598,-0.02,0.05,1.09,-0.77,-2.55,1.6
253,310,598,-0.01,0.06,1.09,1.19,-0.43,-0.72
254,310,598,-0.01,0.05,1.09,1.92,-0.71,0.52
255,310,598,-0.02,0.07,1.08,-2.27,-3.71,-1.39
256,310,598,0,0.04,1.07,1.5,-2.39,-2.44
257,310,598,-0.02,0.07,1.12,1.73,-9.23,-3.68
258,310,598,-0.04,0.06,1.28,1.33,-15.72,-6.43
259,310,598,-0.03,0.04,1.52,0.5,-16.55,5.22
260,310,598,0.06,0.11,1.64,-7.43,17,21.03
261,310,598,0.02,0.08,1.43,-16.04,44.52,14.38
262,310,598,-0.02,0.08,1.15,2.52,52.94,-6.3
263,310,598,-0.08,0.13,0.93,-3.43,54.16,-15.08
264,310,598,-0.1,0.07,0.73,-17.13,35.96,-22.17
265,310,598,-0.03,-0.06,0.65,1.81,36.19,-14.58
266,310,598,-0.03,-0.02,0.63,15.25,35.54,-5.28
267,310,598,-0.07,0.01,0.61,0.1,11.88,-5.46
268,310,598,-0.05,-0.06,0.57,-1.39,-9.78,4.58
269,310,598,-0.07,-0.07,0.61,3.93,-29.52,11.7
270,310,598,0.03,0.02,0.68,0.95,-40.7,10.41
271,310,598,-0.01,-0.06,0.82,-3.93,-55.96,11.41
272,310,598,-0.06,0,1.09,5.37,-79.38,6.28
273,310,598,-0.02,0.13,1.47,9.35,-63.82,-4.09
274,310,598,-0.01,0.14,1.6,-1.2,-47.56,-5.24
275,310,598,0.06,0.15,1.53,-20.18,-21.55,-5.79
276,310,598,0.06,0.07,1.35,-15.62,-6.05,-13.75
277,310,598,0.07,-0.02,1.27,1.09,-0.31,-5.75
278,310,598,0.05,0.02,1.34,7.84,-1.02,-2.5
279,310,598,0.09,-0.01,1.51,8.19,7.21,11.15
280,310,598,0.08,0.01,1.62,19.48,31.87,16.9
281,310,598,0.04,0.1,1.53,7.88,65.77,5.87
282,310,598,0,0,1.27,-11.43,64.08,0.39
283,310,598,-0.01,0.03,0.98,-9.41,69.49,-5.23
284,310,598,-0.02,0.06,0.75,-2.25,71.13,-11.88
285,310,598,-0.1,0.02,0.63,-1.64,48.02,-8.29
286,310,598,-0.04,-0.01,0.6,-5.93,35.15,1.06
287,310,598,-0.08,-0.04,0.51,4.09,17.34,2.58
288,310,598,-0.13,0.02,0.53,-2.49,-11.17,-4.83
289,310,598,-0.13,-0.05,0.53,-15.1,-38.14,7.6
290,310,598,-0.05,-0.02,0.68,5.55,-58.58,0.9
291,310,598,-0.06,0,0.85,-2.34,-65.3,-4.31
292,310,598,-0.03,-0.02,1.05,3.19,-84.32,1.96
293,310,598,0.01,-0.03,1.35,11.45,-68.66,-1.11
294,310,598,0.03,0.09,1.5,9.96,-44.03,-5.86
295,310,598,0.04,0.13,1.49,-8.07,-30.94,-10.81
296,310,598,0.1,0.05,1.41,-16.61,-11.55,-3.5
297,310,598,0.08,0.03,1.26,-7.29,-4.32,-7.56
298,310,598,0.11,0.01,1.21,-3.21,0.33,-2.65
299,310,598,0.1,0,1.23,1.45,0.13,-1.11
300,310,598,0.11,-0.03,1.34,8.35,7.82,4.34
301,310,598,0.08,0.04,1.54,12.1,22.46,9.38
302,310,598,0.09,0.06,1.58,11.9,48.31,12.86
303,310,598,0.04,0.11,1.4,-7.33,70.47,6.05
304,310,598,-0.01,0.11,1.12,-18.2,70.33,-8.56
305,310,598,-0.04,-0.04,0.85,-13.17,63.54,-10.97
306,310,598,-0.03,-0.04,0.69,10.41,58.1,-1.44
307,310,598,-0.1,0.02,0.72,7.64,35.15,0.45
308,310,598,-0.11,-0.03,0.73,2.85,17.42,7.32
309,310,598,-0.09,0.01,0.76,0.99,15.41,4.04
310,310,598,-0.13,0.01,0.7,-4.01,7.08,-2.07
311,310,598,-0.15,-0.01,0.62,-7.46,-17.86,-1.28
312,310,598,-0.1,-0.02,0.61,-2.08,-28.71,-0.56
313,310,598,-0.05,0.01,0.6,-4.95,-33.16,-11.08
314,310,598,-0.13,-0.03,0.72,-26.88,-70.64,-5.38
315,310,598,-0.09,-0.12,1.02,-0.28,-102.51,2.34
316,310,598,-0.01,0.02,1.45,17.74,-72.4,-5.16
317,310,598,0.04,0.17,1.58,5.48,-44.19,-11.92
318,310,598,0.04,0.13,1.54,-16.59,-26.85,-20.5
319,310,598,0.12,0.01,1.44,-20.64,-7.12,-14.11
320,310,598,0.1,-0.08,1.27,-5.48,3.67,-8.3
321,310,598,0.1,-0.05,1.2,0.92,4.51,-5.28
322,310,598,0.12,-0.06,1.16,0.6,7.17,3.34
323,310,598,0.1,-0.05,1.14,4.65,10.03,2.7
324,310,598,0.09,-0.04,1.15,6.79,9.43,3.08
325,310,598,0.06,-0.05,1.21,8.62,6.64,7.73
326,310,598,0.08,0,1.29,12.01,18.48,10.53
327,310,598,0.04,0.02,1.25,8.22,30.45,7.86
328,310,598,0.02,0.02,1.14,-0.67,30.74,5.55
329,310,598,0,0.01,1.01,-3,27.8,4.15
330,310,598,-0.01,0,0.94,-3.91,21.2,3.55
331,310,598,0,-0.01,0.91,-0.75,18.65,4.03
332,310,598,-0.05,0,0.93,1.38,11.43,1.56
333,310,598,-0.07,0,0.96,-7.09,-0.55,3.77
334,310,598,-0.04,-0.04,0.97,2.16,0.55,7.39
335,310,598,-0.07,0.01,1.05,10.25,-0.49,1.18
336,310,598,-0.06,0.06,1.07,-5.2,-2.67,2
337,310,598,-0.05,0.02,1.07,-1.46,-4.19,-0.08
338,310,598,-0.06,0.02,1.08,0.83,-1.1,-2.74
339,310,598,-0.06,0.03,1.07,-2.8,-3.4,-1.14
340,310,598,-0.05,0,1.07,0.11,-4.43,-2.56
341,310,598,-0.04,0.01,1.08,2.22,-2.33,-3.24
342,310,598,-0.05,0.01,1.09,1.4,-5.91,0.08
343,310,598,-0.04,0.01,1.1,-0.41,-4.28,-0.26
344,310,598,-0.05,0,1.1,1.03,-2.29,-0.92
345,310,598,-0.04,0.01,1.11,0.38,-2.77,2.55
346,310,598,-0.05,0.01,1.1,-1.95,-1.11,1.06
347,310,598,-0.04,0,1.08,2.27,-1.35,0.89
348,310,598,-0.04,0.02,1.1,0.92,-0.85,1.94
349,310,598,-0.04,0,1.09,-1.11,-1.8,2.31
350,310,598,-0.03,0.01,1.09,-0.17,-0.87,1.89
351,310,598,-0.03,0,1.09,0.31,-1.9,1.91
352,310,598,-0.03,0.01,1.09,2.8,-0.65,2.81
353,310,598,-0.04,0.02,1.09,0.7,-1.39,-0.77
354,310,598,-0.03,0.01,1.09,-0.74,-2,0.29
355,310,598,-0.02,0.01,1.1,-0.11,-0.35,2.73
356,310,598,-0.04,0.01,1.09,1.7,-1.8,0.33
357,310,598,-0.03,0.01,1.09,0.25,-0.97,0.76
358,310,598,-0.03,0.01,1.09,-2.01,-1.78,2.41
359,310,598,-0.02,0.01,1.1,1.99,-1.29,0.68
360,310,598,-0.03,0.02,1.09,0.45,-0.62,0.56
361,310,598,-0.02,0.03,1.09,-1.49,-1.79,2.7
362,310,598,-0.03,0.02,1.08,-3.21,-1.71,-1.69
