time,xe_p(1),xe_p(2),xe_p(3),xe_theta,"q(1,1)","q(2,1)","q(3,1)","q(4,1)","q?(1,1)","q?(2,1)","q?(3,1)","q?(4,1)",From Workspace1:1(1),From Workspace1:1(2),From Workspace1:1(3),From Workspace2:1,From Workspace4:1(1),From Workspace4:1(2),From Workspace4:1(3),theta_dot,pd(1),pd(2),pd(3),theta,"?e(1,1)","?e(2,1)","?e(3,1)","?e(4,1)","q_dot_dot(1,1)","q_dot_dot(2,1)","q_dot_dot(3,1)","q_dot_dot(4,1)",?d(1),?d(2),?d(3),?d(4),?(1),?(2),?(3),?(4),"Reshape(1,1)","Reshape(2,1)","Reshape(3,1)","Reshape(4,1)",xe_p(1),xe_p(2),xe_p(3),xe_theta
0.037,1.43381E-11,-0.799998942,0.3,-0.013861657,-0.927293454,-1.287005745,0.7,2.200437542,-6.35354E-07,1.27176E-06,0,-0.747753556,0,0,6.944444444,0,0,0,0.256944444,0,0,-0.8,0.004753472,0,4.218E-10,-3.81529E-07,0,-0.747753556,2.28949E-07,-4.58491E-07,0,-18.31588889,0,0,0.256944444,0,0,0,6.944444444,0,-0.927293454,-1.287005745,0.7,2.200437542,1.43381E-11,-0.799998942,0.3,-0.013861657
0.038,1.47598E-11,-0.799998942,0.3,-0.01460941,-0.927293455,-1.287005744,0.7,2.199689788,-6.35125E-07,1.2713E-06,0,-0.766069444,0,0,6.944444444,0,0,0,0.263888889,0,0,-0.8,0.005013889,0,4.21562E-10,-3.81392E-07,0,-0.766069444,2.28866E-07,-4.58326E-07,0,-18.20755556,0,0,0.263888889,0,0,0,6.944444444,0,-0.927293455,-1.287005744,0.7,2.199689788,1.47598E-11,-0.799998942,0.3,-0.01460941
0.039,1.51815E-11,-0.799998942,0.3,-0.015375479,-0.927293455,-1.287005743,0.7,2.198923719,-6.34896E-07,1.27084E-06,0,-0.784277,0,0,6.944444444,0,0,0,0.270833333,0,0,-0.8,0.00528125,0,4.21325E-10,-3.81254E-07,0,-0.784277,2.28784E-07,-4.58161E-07,0,-18.09855556,0,0,0.270833333,0,0,0,6.944444444,0,-0.927293455,-1.287005743,0.7,2.198923719,1.51815E-11,-0.799998942,0.3,-0.015375479
0.04,1.56028E-11,-0.799998943,0.3,-0.016159755,-0.927293456,-1.287005741,0.7,2.198139442,-6.34667E-07,1.27039E-06,0,-0.802375556,0,0,6.944444444,0,0,0,0.277777778,0,0,-0.8,0.005555556,0,4.21087E-10,-3.81117E-07,0,-0.802375556,2.28701E-07,-4.57995E-07,0,-17.98888889,0,0,0.277777778,0,0,0,6.944444444,0,-0.927293456,-1.287005741,0.7,2.198139442,1.56028E-11,-0.799998943,0.3,-0.016159755
0.041,1.60238E-11,-0.799998943,0.3,-0.01696213,-0.927293457,-1.28700574,0.7,2.197337066,-6.34438E-07,1.26993E-06,0,-0.820364444,0,0,6.944444444,0,0,0,0.284722222,0,0,-0.8,0.005836806,0,4.2085E-10,-3.80979E-07,0,-0.820364444,2.28619E-07,-4.5783E-07,0,-17.87855556,0,0,0.284722222,0,0,0,6.944444444,0,-0.927293457,-1.28700574,0.7,2.197337066,1.60238E-11,-0.799998943,0.3,-0.01696213
0.042,1.64446E-11,-0.799998944,0.3,-0.017782494,-0.927293457,-1.287005739,0.7,2.196516702,-6.3421E-07,1.26947E-06,0,-0.838243,0,0,6.944444444,0,0,0,0.291666667,0,0,-0.8,0.006125,0,4.20613E-10,-3.80842E-07,0,-0.838243,2.28536E-07,-4.57665E-07,0,-17.76755556,0,0,0.291666667,0,0,0,6.944444444,0,-0.927293457,-1.287005739,0.7,2.196516702,1.64446E-11,-0.799998944,0.3,-0.017782494
0.043,1.68653E-11,-0.799998944,0.3,-0.018620737,-0.927293458,-1.287005738,0.7,2.195678459,-6.33981E-07,1.26901E-06,0,-0.856010556,0,0,6.944444444,0,0,0,0.298611111,0,0,-0.8,0.006420139,0,4.20376E-10,-3.80705E-07,0,-0.856010556,2.28454E-07,-4.575E-07,0,-17.65588889,0,0,0.298611111,0,0,0,6.944444444,0,-0.927293458,-1.287005738,0.7,2.195678459,1.68653E-11,-0.799998944,0.3,-0.018620737
0.044,1.72856E-11,-0.799998944,0.3,-0.019476746,-0.927293459,-1.287005736,0.7,2.194822448,-6.33753E-07,1.26856E-06,0,-0.873666444,0,0,6.944444444,0,0,0,0.305555556,0,0,-0.8,0.006722222,0,4.20139E-10,-3.80568E-07,0,-0.873666444,2.28372E-07,-4.57335E-07,0,-17.54355556,0,0,0.305555556,0,0,0,6.944444444,0,-0.927293459,-1.287005736,0.7,2.194822448,1.72856E-11,-0.799998944,0.3,-0.019476746
0.045,1.77059E-11,-0.799998945,0.3,-0.020350412,-0.927293459,-1.287005735,0.7,2.193948782,-6.33524E-07,1.2681E-06,0,-0.89121,0,0,6.944444444,0,0,0,0.3125,0,0,-0.8,0.00703125,0,4.19902E-10,-3.8043E-07,0,-0.89121,2.28289E-07,-4.57171E-07,0,-17.43055556,0,0,0.3125,0,0,0,6.944444444,0,-0.927293459,-1.287005735,0.7,2.193948782,1.77059E-11,-0.799998945,0.3,-0.020350412
0.046,1.81258E-11,-0.799998945,0.3,-0.021241622,-0.92729346,-1.287005734,0.7,2.193057572,-6.33296E-07,1.26764E-06,0,-0.908640556,0,0,6.944444444,0,0,0,0.319444444,0,0,-0.8,0.007347222,0,4.19665E-10,-3.80293E-07,0,-0.908640556,2.28207E-07,-4.57006E-07,0,-17.31688889,0,0,0.319444444,0,0,0,6.944444444,0,-0.92729346,-1.287005734,0.7,2.193057572,1.81258E-11,-0.799998945,0.3,-0.021241622
